carIndex,make,model,reg,colour,miles,price,dealer,town,telephone,description,region
102,BMW,321,D,red,125000,2199,Bodgit Quality Cars,Southport,01704 567854,3 door,NW
103,BMW,316,D,pink,87000,2500,Port Erin,Isle of Man,01624 453678,3 door,NW
104,BMW,316,D,white,45000,2000,Weldit Used Cars,Inverness,01463 741514,VGC,N
105,BMW,316,F,grey,92500,2599,Tidy Cars,Peterborough,01733 231456,aircon,E
106,BMW,321,F,red,44200,2600,Hudson Used Cars,Clacton on Sea,01255 423161,MOT,E
43,Ford,Fiesta,C,red,85000,750,Stephenson Ltd,Chelmsford,01245 678546,MOT,E
44,Ford,Fiesta,H,blue,58000,2500,Sports Cars,Nottingham,01158 678954,MOT,C
45,Ford,Fiesta,H,white,35000,2599,Sports Cars,Nottingham,01158 678954,3 door,C
46,Ford,Sierra,J,green,65000,2500,Daves Used Cars,Gravesend,01474 876098,VGC,SE
47,Ford,Sierra,J,yellow,38000,1999,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
48,Ford,Sierra,J,red,24000,2500,Nixons Used Autos,Liverpool,01514 561235,VGC,NW
49,Ford,Sierra,G,pink,66000,2200,Daves Used Cars,Gravesend,01474 876098,VGC,SE
50,Ford,Sierra,H,white,35000,2100,Wrights Quality Cars,Liverpool,01514 567843,aircon,NW
51,Ford,Sierra,H,grey,37500,2099,Nixons Used Autos,Liverpool,01514 561235,aircon,NW
52,Ford,Sierra,L,red,12000,3500,Daves Used Cars,Gravesend,01474 876098,VGC,SE
53,Ford,Sierra,D,blue,29000,750,Wrights Quality Cars,Liverpool,01514 567843,3 door,NW
54,Ford,Sierra,D,white,85000,950,Nixons Used Autos,Liverpool,01514 561235,3 door,NW
55,Ford,Sierra,F,green,52000,1100,Acme Autos,Colchester,01206 452345,3 door,E
56,Ford,Sierra,H,yellow,52500,2100,Acme Autos,Colchester,01206 452345,VGC,E
57,Ford,Sierra,H,red,49500,2100,University Motors,Cambridge,01223 768956,aircon,C
58,Ford,Sierra,J,pink,85000,2500,University Motors,Cambridge,01223 768956,MOT,C
59,Ford,Mondeo,N,white,12000,16000,Smith Autos,Cambridge,01223 654318,MOT,C
60,Ford,Mondeo,N,grey,22000,14500,Station Cars,Manchester,01617 453678,VGC,NW
61,Ford,Mondeo,N,red,36000,12000,Station Cars,Manchester,1618 453678,MOT,NW
62,Ford,Mondeo,N,blue,19000,16500,Smith Autos,Cambridge,01223 654318,VGC,C
63,Ford,Mondeo,M,white,19500,10999,Daves Used Cars,Gravesend,01474 876098,aircon,SE
107,BMW,316,G,blue,67500,3599,Bodgit Quality Cars,Southport,01704 567854,MOT,NW
108,BMW,316,G,white,25250,3400,Fixitt Car Dealers,Portree,01478 576894,VGC,N
109,Alfa Romeo,33,H,green,45600,3400,Tidy Cars,Peterborough,01733 231456,MOT,E
110,Alfa Romeo,33,H,yellow,42000,3450,Tidy Cars,Peterborough,01733 231456,VGC,E
111,Alfa Romeo,33,J,red,35500,4400,Fixitt Car Dealers,Portree,01478 576894,aircon,N
112,Alfa Romeo,33,J,pink,24525,4650,Hudson Used Cars,Clacton on Sea,01255 423161,MOT,E
113,Alfa Romeo,164,N,white,17500,15500,Off Road Sales,Torquay,01803 323014,aircon,W
114,Alfa Romeo,164,M,grey,12500,13500,Rook Used Cars,Exeter,01392 460753,VGC,SW
115,Alfa Romeo,164,N,red,18500,14500,Rook Used Cars,Exeter,01392 460753,MOT,SW
116,Honda,Accord,P,blue,12500,12500,Sports Cars,Nottingham,01158 678954,MOT,C
117,Honda,Accord,P,white,22000,9999,Sports Cars,Nottingham,01158 678954,3 door,C
118,Honda,Accord,G,green,85500,3500,Daves Used Cars,Gravesend,01474 876098,VGC,SE
119,Honda,Accord,H,yellow,25500,3550,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
120,Honda,Civic,J,red,35500,4500,Nixons Used Autos,Liverpool,01514 561235,VGC,NW
121,Honda,Civic,K,pink,45400,2550,Daves Used Cars,Gravesend,01474 876098,VGC,SE
122,Honda,Civic,J,white,12500,3999,Wrights Quality Cars,Liverpool,01514 567843,aircon,NW
123,Honda,Civic,K,grey,22500,2550,Nixons Used Autos,Liverpool,01514 561235,aircon,NW
124,Fiat,Uno,H,red,12500,995,Daves Used Cars,Gravesend,01474 876098,VGC,SE
125,Fiat,Uno,P,blue,8500,7500,Wrights Quality Cars,Liverpool,01514 567843,3 door,NW
126,Fiat,Uno,G,white,35000,850,Nixons Used Autos,Liverpool,01514 561235,3 door,NW
127,Fiat,Uno,G,green,35550,899,Acme Autos,Colchester,01206 452345,3 door,E
128,Fiat,Tipo,J,yellow,21540,2000,Acme Autos,Colchester,01206 452345,VGC,E
129,Fiat,Tipo,G,red,11500,1050,University Motors,Cambridge,01223 768956,aircon,C
130,Fiat,Tipo,L,pink,8500,1850,University Motors,Cambridge,01223 768956,MOT,C
131,Fiat,Tipo,L,white,22500,2000,Smith Autos,Cambridge,01223 654318,MOT,C
132,Fiat,Tipo,G,grey,35500,2100,Station Cars,Manchester,01617 453678,VGC,N
133,Fiat,Panda,C,red,12500,300,Station Cars,Manchester,1618 453678,MOT,NW
134,Fiat,Panda,C,blue,12000,550,Smith Autos,Cambridge,01223 654318,VGC,C
135,Fiat,Panda,D,white,22500,450,Smith Autos,Cambridge,01223 654318,aircon,C
136,Fiat,Panda,E,green,65500,999,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
137,Fiat,Panda,E,yellow,12400,899,Wrights Quality Cars,Liverpool,01514 567843,aircon,NW
138,Nissan,Primera,N,red,26500,12500,Wrights Quality Cars,Liverpool,01514 567843,VGC,NW
139,Nissan,Primera,M,pink,32500,13500,Acme Autos,Colchester,01206 452345,MOT,E
140,Nissan,Primera,P,white,24500,15500,Acme Autos,Colchester,01206 452345,MOT,E
141,Nissan,Bluebird,G,grey,95500,1500,Nixons Used Autos,Liverpool,01514 561235,3 door,NW
142,Nissan,Bluebird,H,red,45600,2500,Nixons Used Autos,Liverpool,01514 561235,VGC,NW
143,Nissan,Bluebird,G,red,55700,1750,Nixons Used Autos,Liverpool,01514 561235,MOT,NW
144,Nissan,Sunny,G,white,33000,899,Nixons Used Autos,Liverpool,01514 561235,VGC,NW
145,Nissan,Sunny,C,blue,23000,750,Nippon Sales,Maldon,01621 456324,MOT,E
146,Nissan,Sunny,C,lemon,15000,750,Nippon Sales,Maldon,01621 456324,VGC,E
147,Nissan,Sunny,D,orange,76900,799,Nippon Sales,Maldon,01621 456324,VGC,E
148,Landrover,Discovery,G,green,45000,12999,The Car Shop,Chester,01344 768970,VGC,NW
149,VW,Passat,L,silver,23000,1299,Frank's Car Sales,Stockton,01677 434210,MOT,NE
150,Jaguar,XJS,M,blue,109000,6799,Car-U-Like,Portsmouth,01233 872222,VGC,S
151,Toyota,Landcruiser,R,white,98000,5499,Wheels of Croydon,Croydon,0181 788 5333,MOT,S
152,Mercedes,E220,S,red,34000,3299,Bristol Motors,Bristol,0117 455 3211,VGC,W
153,Landrover,Discovery,G,green,45000,1599,McGovern's Cars,Glasgow,0141 544 9519,VGC,N
154,VW,Passat,L,silver,23000,17899,Reliable Harry's,Clapham,0171 556 3288,5-door,S
155,Jaguar,XJS,M,blue,109000,7899,Dalton Car Sales,Middlesbrough,01155 545889,Immac,NE
157,Mercedes,E220,S,red,34000,6299,Prestige Vehicles,Edinburgh,0131 766 4521,Lady owner,N
159,VW,Passat,L,silver,23000,18499,Nippon Sales,Maldon,01621 456324,Stereo,E
160,Jaguar,XJS,M,blue,109000,6499,The Car Shop,Chester,01344 768970,1 owner,NW
161,Toyota,Landcruiser,R,white,98000,8399,Frank's Car Sales,Stockton,01677 434210,Any trial,NE
162,Mercedes,E220,S,red,34000,1250,Car-U-Like,Portsmouth,01233 872222,Used daily,S
163,Landrover,Series I,R,black,56000,7525,Wheels of Croydon,Croydon,0181 788 5333,T&T,S
164,VW,Sirocco,S,bronze,34000,8225,Bristol Motors,Bristol,0117 455 3211,Radio,W
165,Jaguar,XJ6,G,yellow,44000,6199,McGovern's Cars,Glasgow,0141 544 9519,VGC,N
166,Toyota,Previa,L,orange,55000,7799,Reliable Harry's,Clapham,0171 556 3288,VGC,S
167,Mercedes,SL500,M,gold,66000,3425,Dalton Car Sales,Middlesbrough,01155 545889,5-door,NE
169,BMW,328i,G,green,56000,5699,Prestige Vehicles,Edinburgh,0131 766 4521,MOT,N
171,Rover,Vitesse,S,blue,44000,6675,Nippon Sales,Maldon,01621 456324,FSH,E
172,Austin,Montego,S,white,55000,2380,The Car Shop,Chester,01344 768970,Stereo,NW
173,Daewoo,Subina,R,blue,88000,75,Frank's Car Sales,Stockton,01677 434210,1 owner,NE
174,BMW,328i,R,lemon,23000,8600,Car-U-Like,Portsmouth,01233 872222,Any trial,S
175,Fiat,Punto,R,orange,34000,25,Wheels of Croydon,Croydon,0181 788 5333,Used daily,S
176,Rover,3500i,P,green,33000,6200,Bristol Motors,Bristol,0117 455 3211,T&T,W
177,Austin,Montego,N,silver,39000,125,McGovern's Cars,Glasgow,0141 544 9519,Radio,N
178,Daewoo,Subina,L,blue,41000,790,Reliable Harry's,Clapham,0171 556 3288,Any trial,S
179,BMW,525i,P,white,42000,12999,Dalton Car Sales,Middlesbrough,01155 545889,Used daily,NE
181,Rover,Vitesse,R,green,57000,3299,Prestige Vehicles,Edinburgh,0131 766 4521,Radio,N
183,Daewoo,Subina,L,blue,51000,1299,Nippon Sales,Maldon,01621 456324,MOT,E
184,BMW,728 SE,K,white,62000,34000,The Car Shop,Chester,01344 768970,VGC,NW
185,Fiat,Punto,K,red,103000,5600,Frank's Car Sales,Stockton,01677 434210,MOT,NE
186,Rover,3500i,L,green,93000,3499,Car-U-Like,Portsmouth,01233 872222,VGC,S
187,Austin,Montego,P,silver,21000,2899,Wheels of Croydon,Croydon,0181 788 5333,VGC,S
188,Daewoo,Subina,N,blue,17000,3450,Bristol Motors,Bristol,0117 455 3211,5-door,W
189,BMW,525i,R,lemon,14000,4400,McGovern's Cars,Glasgow,0141 544 9519,Immac,N
190,Fiat,Punto,S,orange,88000,4650,Reliable Harry's,Clapham,0171 556 3288,MOT,S
191,Rover,Vitesse,S,green,82000,15500,Dalton Car Sales,Middlesbrough,01155 545889,Lady owner,NE
193,Datsun,Sunny,P,blue,40000,14500,Prestige Vehicles,Edinburgh,0131 766 4521,Stereo,N
195,Nissan,Primera,M,red,13000,9999,Nippon Sales,Maldon,01621 456324,Any trial,E
196,Nissan,Micra,L,green,77000,3500,The Car Shop,Chester,01344 768970,Used daily,NW
197,Volvo,V70,K,silver,53000,3550,Frank's Car Sales,Stockton,01677 434210,T&T,NE
198,Nissan,Cherry,H,blue,73000,4500,Car-U-Like,Portsmouth,01233 872222,Radio,S
199,Mazda,323i,G,white,89000,2550,Wheels of Croydon,Croydon,0181 788 5333,VGC,S
200,Mazda,MR2,H,red,97000,3999,Bristol Motors,Bristol,0117 455 3211,VGC,W
201,MG,Midget,K,green,12000,2550,McGovern's Cars,Glasgow,0141 544 9519,5-door,N
202,MG,Metro,L,silver,19000,995,Reliable Harry's,Clapham,0171 556 3288,Immac,S
203,MG,Roadster,P,blue,10000,7500,Dalton Car Sales,Middlesbrough,01155 545889,MOT,NE
205,Bentley,Turbo,R,orange,39000,899,Prestige Vehicles,Edinburgh,0131 766 4521,FSH,N
207,Vauxhall,Astra,S,silver,42000,1050,Nippon Sales,Maldon,01621 456324,1 owner,E
208,Vauxhall,Carlton,S,blue,46000,1850,The Car Shop,Chester,01344 768970,Any trial,NW
209,Vauxhall,Omega,N,white,57000,2000,Frank's Car Sales,Stockton,01677 434210,Used daily,NE
210,Vauxhall,Frontera,N,red,58000,2100,Car-U-Like,Portsmouth,01233 872222,T&T,S
211,Vauxhall,Nova,N,green,51000,300,Wheels of Croydon,Croydon,0181 788 5333,Radio,S
212,Vauxhall,Tigre,P,silver,62000,550,Bristol Motors,Bristol,0117 455 3211,Any trial,W
213,Vauxhall,Cavalier,M,blue,103000,450,McGovern's Cars,Glasgow,0141 544 9519,Used daily,N
214,Vauxhall,Vectra,M,white,93000,999,Reliable Harry's,Clapham,0171 556 3288,T&T,S
215,Vauxhall,Senator,S,red,21000,899,Dalton Car Sales,Middlesbrough,01155 545889,Radio,NE
217,Vauxhall,Astra,R,silver,14000,13500,Prestige Vehicles,Edinburgh,0131 766 4521,Very fast,N
219,Nissan,Primera,D,lemon,82000,1500,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
220,Nissan,Micra,F,orange,49000,2500,Nixons Used Autos,Liverpool,01514 561235,MOT,NW
221,Volvo,V70,G,green,40000,1750,Daves Used Cars,Gravesend,01474 876098,VGC,SE
222,Nissan,Cherry,H,silver,16000,899,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
223,Mazda,323i,J,blue,13000,750,Nixons Used Autos,Liverpool,01514 561235,VGC,NW
224,Mazda,MR2,J,white,77000,750,Daves Used Cars,Gravesend,01474 876098,aircon,SE
225,MG,Midget,K,red,53000,799,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
226,MG,Metro,L,green,73000,12999,Nixons Used Autos,Liverpool,01514 561235,aircon,NW
227,MG,Roadster,K,silver,89000,1299,Acme Autos,Colchester,01206 452345,VGC,E
228,Bentley,Mulsanne,L,blue,97000,6799,Acme Autos,Colchester,01206 452345,MOT,E
229,Bentley,Turbo,P,white,12000,5499,University Motors,Cambridge,01223 768956,MOT,C
230,Vauxhall,Cavalier,N,red,19000,3299,University Motors,Cambridge,01223 768956,3 door,C
231,Vauxhall,Astra,R,green,10000,1599,Smith Autos,Cambridge,01223 654318,VGC,C
232,Vauxhall,Carlton,S,silver,94000,17899,Weldit Used Cars,Inverness,01463 741514,MOT,N
233,Vauxhall,Omega,S,white,39000,7899,Tidy Cars,Peterborough,01733 231456,VGC,E
234,Vauxhall,Frontera,R,red,41000,3499,Hudson Used Cars,Clacton on Sea,01255 423161,VGC,E
235,Vauxhall,Nova,P,green,42000,6299,Bodgit Quality Cars,Southport,01704 567854,aircon,NW
236,Vauxhall,Tigre,G,silver,46000,1699,Weldit Used Cars,Inverness,01463 741514,aircon,N
237,Vauxhall,Cavalier,L,blue,57000,18499,Tidy Cars,Peterborough,01733 231456,VGC,E
238,Vauxhall,Vectra,M,white,58000,6499,Hudson Used Cars,Clacton on Sea,01255 423161,3 door,E
239,Vauxhall,Senator,R,red,51000,8399,Bodgit Quality Cars,Southport,01704 567854,3 door,NW
240,Vauxhall,Vectra,S,green,62000,1250,Port Erin,Isle of Man,01624 453678,3 door,NW
241,Vauxhall,Astra,G,silver,103000,7525,Weldit Used Cars,Inverness,01463 741514,VGC,N
242,Vauxhall,Astra,L,blue,93000,8225,Tidy Cars,Peterborough,01733 231456,aircon,E
243,VW,Golf,M,white,21000,6199,Hudson Used Cars,Clacton on Sea,01255 423161,MOT,E
244,VW,Jetta,R,red,17000,7799,Bodgit Quality Cars,Southport,01704 567854,MOT,NW
245,VW,Passat,S,green,14000,3425,Fixitt Car Dealers,Portree,01478 576894,VGC,N
246,VW,Golf,G,silver,88000,4500,Tidy Cars,Peterborough,01733 231456,MOT,E
247,VW,Polo,L,blue,82000,5699,Tidy Cars,Peterborough,01733 231456,VGC,E
248,VW,Golf,M,white,49000,8275,Fixitt Car Dealers,Portree,01478 576894,aircon,N
249,VW,Polo,R,red,40000,6675,Hudson Used Cars,Clacton on Sea,01255 423161,MOT,E
250,Renault,Megane,S,green,16000,2380,Off Road Sales,Torquay,01803 323014,aircon,W
251,Renault,Clio,R,silver,13000,75,Rook Used Cars,Exeter,01392 460753,VGC,SW
252,Renault,Safrane,S,blue,77000,8600,Rook Used Cars,Exeter,01392 460753,MOT,SW
253,Renault,Laguna,G,white,53000,25,Sports Cars,Nottingham,01158 678954,MOT,C
254,Renault,Clio,L,red,73000,6200,Sports Cars,Nottingham,01158 678954,3 door,C
255,Renault,Megane,M,green,89000,125,Daves Used Cars,Gravesend,01474 876098,VGC,SE
256,Renault,Clio,P,silver,97000,790,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
257,Renault,Safrane,G,blue,12000,12999,Nixons Used Autos,Liverpool,01514 561235,VGC,NW
258,Renault,Laguna,R,white,19000,4500,Daves Used Cars,Gravesend,01474 876098,VGC,SE
259,Renault,Clio,S,red,10000,3299,Wrights Quality Cars,Liverpool,01514 567843,aircon,NW
260,VW,Golf,S,green,94000,830,Nixons Used Autos,Liverpool,01514 561235,aircon,NW
261,VW,Jetta,R,silver,39000,1299,Daves Used Cars,Gravesend,01474 876098,VGC,SE
262,VW,Passat,R,blue,41000,34000,Wrights Quality Cars,Liverpool,01514 567843,3 door,NW
263,VW,Golf,R,white,42000,5600,Nixons Used Autos,Liverpool,01514 561235,3 door,NW
264,VW,Polo,P,red,46000,3499,Acme Autos,Colchester,01206 452345,3 door,E
265,VW,Golf,N,green,57000,2899,Acme Autos,Colchester,01206 452345,VGC,E
266,VW,Polo,L,silver,58000,3450,University Motors,Cambridge,01223 768956,aircon,C
267,Peugeot,205 XE,P,blue,51000,4400,University Motors,Cambridge,01223 768956,MOT,C
268,Peugeot,306 XL,N,white,62000,4650,Smith Autos,Cambridge,01223 654318,MOT,C
269,Peugeot,205 D,R,red,103000,15500,Station Cars,Manchester,01617 453678,VGC,N
270,Peugeot,205 GTI,S,green,93000,13500,Station Cars,Manchester,1618 453678,MOT,NW
271,Peugeot,405 GT,L,silver,21000,14500,Smith Autos,Cambridge,01223 654318,VGC,C
272,Peugeot,605 XS,K,blue,17000,12500,Smith Autos,Cambridge,01223 654318,aircon,C
273,Peugeot,306 XD,K,grey,14000,9999,Wrights Quality Cars,Liverpool,01514 567843,MOT,NW
274,Peugeot,505 L,L,red,88000,3500,Wrights Quality Cars,Liverpool,01514 567843,aircon,NW
275,Peugeot,106 XL,P,blue,82000,3550,Wrights Quality Cars,Liverpool,01514 567843,VGC,NW
276,Mercedes,E320,N,white,49000,4500,Acme Autos,Colchester,01206 452345,MOT,E
277,Mercedes,Kompressor,R,green,40000,2550,Acme Autos,Colchester,01206 452345,MOT,E
278,Mercedes,SL300,S,yellow,16000,3999,Nixons Used Autos,Liverpool,01514 561235,3 door,NW
279,Mercedes,SL500,S,red,13000,2550,Nixons Used Autos,Liverpool,01514 561235,VGC,NW
280,Mercedes,A200,R,pink,77000,995,Nixons Used Autos,Liverpool,01514 561235,MOT,NW
281,Mercedes,C320,P,white,53000,7500,Nixons Used Autos,Liverpool,01514 561235,VGC,NW
282,Mercedes,C220,L,grey,73000,850,Nippon Sales,Maldon,01621 456324,MOT,E
283,Peugeot,205 XE,M,red,89000,899,Nippon Sales,Maldon,01621 456324,VGC,E
284,Peugeot,306 XL,L,red,97000,2000,Nippon Sales,Maldon,01621 456324,VGC,E
285,Peugeot,205 D,K,white,12000,1050,The Car Shop,Chester,01344 768970,Lady owner,NW
286,Peugeot,205 GTI,H,blue,19000,1850,Frank's Car Sales,Stockton,01677 434210,FSH,NE
287,Peugeot,405 GT,G,grey,10000,2000,Car-U-Like,Portsmouth,01233 872222,Stereo,S
288,Peugeot,605 XS,H,red,94000,2100,Wheels of Croydon,Croydon,0181 788 5333,1 owner,S
289,Peugeot,306 XD,K,blue,8500,300,Bristol Motors,Bristol,0117 455 3211,Any trial,W
290,Peugeot,505 L,L,white,22500,550,McGovern's Cars,Glasgow,0141 544 9519,Used daily,N
291,Peugeot,106 XL,P,green,35500,450,Reliable Harry's,Clapham,0171 556 3288,T&T,S
292,BMW,323i,R,yellow,12500,999,Dalton Car Sales,Middlesbrough,01155 545889,Radio,NE
294,BMW,840 SE,S,pink,22500,12500,Prestige Vehicles,Edinburgh,0131 766 4521,Used daily,N
296,BMW,728i,S,grey,12400,15500,Nippon Sales,Maldon,01621 456324,Radio,E
297,BMW,740i,N,red,26500,1500,The Car Shop,Chester,01344 768970,VGC,NW
298,BMW,540i,N,red,32500,2500,Frank's Car Sales,Stockton,01677 434210,MOT,NE
